com_id,travelList,distance,num
0,"[460, 0, 462, 461, 1, 464, 463, 2]",737.8390407905953,1.0
1,"[3, 4]",79.57924710433596,1.0
2,"[468, 467, 5, 466, 465]",228.6334728724465,2.0
3,"[6, 16]",450.072689881065,507.0
4,"[7, 8]",62.466186682095916,2.0
5,"[9, 35, 44, 73, 98, 105, 137, 147, 174, 182]",1317.3387811449913,1.0
6,"[477, 478, 475, 10]",147.1384497996219,504.0
7,"[474, 11, 13, 12]",147.13844979962192,3.0
8,[14],56.67502686026704,3.0
9,"[15, 17, 18, 29, 30, 34, 36, 46, 45]",658.1410186138037,3.0
10,"[485, 19, 491, 27, 488, 26, 495]",526.0729769747049,507.0
11,"[484, 20]",166.18601064935143,5.0
12,"[21, 39, 38, 71, 84, 541, 92]",825.6400667339109,1.0
13,[22],36.53146898893999,2.0
14,"[23, 56, 55, 72, 78, 79, 97, 557, 116, 159, 165, 188]",1176.4125392960648,1.0
15,[24],34.30462583816045,2.0
16,"[31, 489, 25, 490, 28]",359.8869663253535,5.0
17,"[497, 32, 502]",620.8979118925947,510.0
18,"[43, 496, 33]",620.8979118925947,4.0
19,"[505, 500, 37, 41, 40, 47]",378.41825972996014,1.0
20,"[42, 512, 53, 525]",186.74359194672635,508.0
21,"[521, 507, 48, 50, 51, 52, 67, 66, 76, 81]",631.5735944956352,1.0
22,"[529, 527, 522, 523, 510, 509, 508, 506, 49, 65]",631.5735944956352,509.0
23,"[69, 511, 54, 501]",186.74359194672635,1.0
24,"[57, 75, 74, 80, 535, 85, 581, 148, 160, 189]",1253.7785025721232,1.0
25,[58],14.13331378104033,511.0
26,"[59, 60]",228.26119989499128,3.0
27,"[61, 519]",326.4366287545099,3.0
28,[62],12.13134530510832,1.0
29,"[518, 63, 517]",338.5679740596183,509.0
30,"[64, 86, 106]",514.2546288556972,1.0
31,"[68, 70, 77, 82]",213.30781891073906,506.0
32,[83],127.77065968657324,508.0
33,"[87, 94, 101, 100, 107, 110, 119]",368.40740701856,1.0
34,"[88, 91, 93, 99, 109, 117, 565]",671.8005486259536,1.0
35,"[89, 103, 108, 115, 123, 562]",616.5695121580677,1.0
36,[90],162.664821803235,507.0
37,"[95, 555, 114]",208.85800853370856,504.0
38,"[96, 547, 102]",241.75386172474944,3.0
39,[104],158.66145309922507,1.0
40,[111],87.06102784309087,16.0
41,"[554, 112]",95.96070903586829,1.0
42,"[556, 113, 543]",208.85800853370853,2.0
43,"[118, 127, 126, 128, 140, 139, 149, 150]",556.8702164517676,2.0
44,"[120, 131]",61.49754166303298,3.0
45,[121],56.98583938677,494.0
46,"[122, 133, 145]",109.41623661600202,70.0
47,"[124, 134, 135]",195.6686623340737,1.0
48,"[564, 125, 138, 591, 590, 589, 166, 190]",1171.8025857816415,1.0
49,[129],55.40523406511317,1.0
50,[130],61.819977846572485,44.0
51,[132],39.47269669643709,446.0
52,"[573, 136, 146, 155]",484.96536118652295,1.0
53,"[141, 156]",208.64204932643017,1.0
54,"[142, 585, 151, 161, 185, 192]",849.0938021920807,436.0
55,[143],0.3989482393157174,8.0
56,"[144, 153]",60.16844530226669,70.0
57,"[614, 609, 588, 584, 152, 577]",849.0938021920807,2.0
58,"[154, 172]",204.71696308514882,1.0
59,"[157, 158]",102.92371738260603,71.0
60,"[164, 162, 603, 175]",190.97838492872387,70.0
61,"[163, 171, 602, 601, 596, 595, 170, 206]",610.3899061402805,1.0
62,"[169, 168, 167, 184]",95.47960804856538,1.0
63,"[598, 173]",139.34734091509534,3.0
64,"[176, 186]",359.1249442443884,69.0
65,"[177, 195]",305.94178166593036,1.0
66,[178],211.3011675524544,3.0
67,"[179, 180]",96.89714795371103,1.0
68,[181],139.09994223531572,1.0
69,"[183, 191, 205]",128.8117569258522,2.0
70,[187],120.0613821421833,1.0
71,[193],129.8751818928169,2.0
72,[194],1.4346196609251514,1.0
73,"[196, 216, 230, 253, 276]",640.4942183999514,71.0
74,"[197, 207, 213]",135.57952679954892,1.0
75,[198],7.58035591291156,69.0
76,"[620, 199, 208, 217, 223, 236, 254]",674.0264858450314,1.0
77,"[200, 647, 225, 224]",329.5902273367847,1.0
78,"[202, 201]",78.04007553751177,4.0
79,[203],9.149275095781627,1.0
80,"[204, 210]",40.1291214175364,3.0
81,"[209, 218, 231, 246]",381.5166947442751,1.0
82,"[211, 221]",351.4083015265999,2.0
83,"[212, 215]",248.24251251349173,2.0
84,[214],204.73669793762787,1.0
85,"[219, 237, 247]",233.02851780672754,2.0
86,[220],115.70539559873184,1.0
87,"[222, 245]",216.81454366072256,1.0
88,"[226, 248, 269, 698, 678]",635.5741293739375,1.0
89,[227],135.94076739018604,1.0
90,"[228, 235]",281.37496492887243,2.0
91,[229],351.0036400283076,1.0
92,"[659, 656, 232, 655, 652]",257.158517024757,5.0
93,"[660, 233, 234]",214.75212935149875,2.0
94,"[238, 257, 277, 282, 301, 314]",743.7930382038055,1.0
95,"[668, 239, 249]",81.63061312419903,1.0
96,"[676, 667, 240]",81.63061312419903,1.0
97,[241],15.555892647176906,437.0
98,[242],105.06775534222164,434.0
99,"[243, 244, 251, 252]",450.5729556016919,3.0
100,[250],164.65919181650796,1.0
101,[255],231.71837562739088,2.0
102,[256],23.55542773130986,4.0
103,"[258, 704, 694, 693]",180.27445621940484,2.0
104,"[259, 270, 272, 278, 279, 297, 312, 311]",539.5794625457406,431.0
105,[260],152.668025396969,4.0
106,"[683, 261]",53.79571668708009,1.0
107,"[686, 684, 685, 262]",305.02600525220805,5.0
108,"[688, 263, 671]",260.1101000578963,1.0
109,"[264, 708, 273, 283, 287, 291, 731, 294, 298, 305]",576.5227031761103,1.0
110,[265],32.379032394555004,4.0
111,[266],27.03782354788985,4.0
112,"[267, 271]",281.6128619258407,4.0
113,[268],322.28381588780826,6.0
