pid,tid,path
1372846118620000671,0,2259
1372846118620000671,15,2258
1372846118620000671,30,2246
1372846118620000671,45,966
1372846118620000671,60,1082
1372846118620000671,75,2360
1372846118620000671,90,1080
1372846118620000671,105,1105
1372846118620000671,120,2409
1372846118620000671,135,1127
1372846118620000671,150,2407
1372846118620000671,165,2403
1372846118620000671,180,1124
1372846118620000671,195,2426
1372846118620000671,210,2425
1372846118620000671,225,2423
1372846118620000671,240,1141
1372846118620000671,255,2440
1372846118620000671,270,1160
1372846118620000671,285,2470
1372846118620000671,300,2439
1372846118620000671,315,2381
1372867846620000658,0,2259
1372867846620000658,15,2258
1372867846620000658,30,2246
1372867846620000658,45,966
1372867846620000658,60,1082
1372867846620000658,75,2360
1372867846620000658,90,1080
1372867846620000658,105,1105
1372867846620000658,120,2409
1372867846620000658,135,1127
1372867846620000658,150,2407
1372867846620000658,165,2403
1372867846620000658,180,1124
1372867846620000658,195,2426
1372867846620000658,210,2425
1372867846620000658,225,2423
1372867846620000658,240,1141
1372867846620000658,255,2440
1372867846620000658,270,1160
1372867846620000658,285,2470
1372867846620000658,300,2439
1372867846620000658,315,1158
1372877382620000591,0,2259
1372877382620000591,15,2258
1372877382620000591,30,2246
1372877382620000591,45,966
1372877382620000591,60,1082
1372877382620000591,75,2360
1372877382620000591,90,1080
1372877382620000591,105,1105
1372877382620000591,120,2409
1372877382620000591,135,1127
1372877382620000591,150,2407
1372877382620000591,165,2403
1372877382620000591,180,1124
1372877382620000591,195,2426
1372877382620000591,210,2425
1372877382620000591,225,2423
1372877382620000591,240,1141
1372877382620000591,255,2440
1372877382620000591,270,1160
1372877382620000591,285,2470
1372877382620000591,300,2439
1372877382620000591,315,2381
1372927881620000594,0,2259
1372927881620000594,15,2258
1372927881620000594,30,2246
1372927881620000594,45,966
1372927881620000594,60,1082
1372927881620000594,75,2360
1372927881620000594,90,1080
1372927881620000594,105,1105
1372927881620000594,120,2409
1372927881620000594,135,1127
1372927881620000594,150,2407
1372927881620000594,165,2403
1372927881620000594,180,1124
1372927881620000594,195,2426
1372927881620000594,210,2425
1372927881620000594,225,2423
1372927881620000594,240,1141
1372927881620000594,255,2440
1372927881620000594,270,1160
1372927881620000594,285,2470
1372927881620000594,300,2439
1372927881620000594,315,2381
1373111914620000007,0,2259
1373111914620000007,15,2258
1373111914620000007,30,2246
1373111914620000007,45,966
1373111914620000007,60,1082
1373111914620000007,75,2360
1373111914620000007,90,1080
1373111914620000007,105,1105
1373111914620000007,120,2409
1373111914620000007,135,1127
1373111914620000007,150,2407
1373111914620000007,165,2403
1373111914620000007,180,1124
1373111914620000007,195,2426
1373111914620000007,210,2425
1373111914620000007,225,2423
1373111914620000007,240,1141
1373111914620000007,255,2440
1373111914620000007,270,1160
1373111914620000007,285,2470
1373111914620000007,300,2439
1373111914620000007,315,2402
1373135440620000678,0,2259
1373135440620000678,15,2258
1373135440620000678,30,2246
1373135440620000678,45,966
1373135440620000678,60,1082
1373135440620000678,75,2360
1373135440620000678,90,1080
1373135440620000678,105,1105
1373135440620000678,120,2409
1373135440620000678,135,1127
1373135440620000678,150,2407
1373135440620000678,165,2403
1373135440620000678,180,1124
1373135440620000678,195,2426
1373135440620000678,210,2425
1373135440620000678,225,2423
1373135440620000678,240,2384
1373135440620000678,255,2352
1373135440620000678,270,1069
1373135440620000678,285,2383
1373135440620000678,300,1100
1373135443620000517,0,2259
1373135443620000517,15,2258
1373135443620000517,30,2246
1373135443620000517,45,966
1373135443620000517,60,1082
1373135443620000517,75,2360
1373135443620000517,90,1080
1373135443620000517,105,1105
1373135443620000517,120,2409
1373135443620000517,135,1127
1373135443620000517,150,2407
1373135443620000517,165,2403
1373135443620000517,180,1124
1373135443620000517,195,2426
1373135443620000517,210,2425
1373135443620000517,225,2423
1373135443620000517,240,2384
1373135443620000517,255,2352
1373135443620000517,270,1069
1373135443620000517,285,2383
1373135443620000517,300,1100
1373140526620000160,0,2259
1373140526620000160,15,2258
1373140526620000160,30,2246
1373140526620000160,45,966
1373140526620000160,60,1082
1373140526620000160,75,2360
1373140526620000160,90,1080
1373140526620000160,105,1105
1373140526620000160,120,2409
1373140526620000160,135,1127
1373140526620000160,150,2407
1373140526620000160,165,2403
1373140526620000160,180,1124
1373140526620000160,195,2426
1373140526620000160,210,2425
1373140526620000160,225,2423
1373140526620000160,240,1141
1373140526620000160,255,2440
1373140526620000160,270,1160
1373140526620000160,285,2470
1373140526620000160,300,2439
1373140526620000160,315,2381
1373198466620000486,0,2259
1373198466620000486,15,2258
1373198466620000486,30,2246
1373198466620000486,45,966
1373198466620000486,60,1082
1373198466620000486,75,2360
1373198466620000486,90,1080
1373198466620000486,105,1105
1373198466620000486,120,2409
1373198466620000486,135,1127
1373198466620000486,150,2407
1373198466620000486,165,2403
1373198466620000486,180,1124
1373198466620000486,195,2426
1373198466620000486,210,2425
1373198466620000486,225,2423
1373198466620000486,240,1141
1373198466620000486,255,2440
1373198466620000486,270,1160
1373198466620000486,285,2470
1373198466620000486,300,2439
1373198466620000486,315,2402
1373213002620000100,0,2259
1373213002620000100,15,2258
1373213002620000100,30,2246
1373213002620000100,45,966
1373213002620000100,60,1082
1373213002620000100,75,2360
1373213002620000100,90,1080
1373213002620000100,105,1105
1373213002620000100,120,2409
1373213002620000100,135,1127
1373213002620000100,150,2407
1373213002620000100,165,2403
1373213002620000100,180,1124
1373213002620000100,195,2426
1373213002620000100,210,2425
1373213002620000100,225,2423
1373213002620000100,240,1141
1373213002620000100,255,2440
1373213002620000100,270,1160
1373213002620000100,285,2470
1373213002620000100,300,2439
1373213002620000100,315,2381
1373291684620000273,0,2259
1373291684620000273,15,2258
1373291684620000273,30,2246
1373291684620000273,45,966
1373291684620000273,60,1082
1373291684620000273,75,2360
1373291684620000273,90,1080
1373291684620000273,105,1105
1373291684620000273,120,2409
1373291684620000273,135,1127
1373291684620000273,150,2407
1373291684620000273,165,2403
1373291684620000273,180,1124
1373291684620000273,195,2426
1373291684620000273,210,2425
1373291684620000273,225,2423
1373291684620000273,240,1141
1373291684620000273,255,2440
1373291684620000273,270,1160
1373291684620000273,285,2470
